,id,title,authors,subjects,subject_split
0,arXiv:2006.10742,"
Title: Learning Invariant Representations for Reinforcement Learning without  Reconstruction
","
Authors:
Amy Zhang, 
Rowan McAllister, 
Roberto Calandra, 
Yarin Gal, 
Sergey Levine
","
Subjects: Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Artificial Intelligence (cs.AI)', 'Machine Learning (stat.ML)']"
1,arXiv:2006.10739,"
Title: Fourier Features Let Networks Learn High Frequency Functions in Low  Dimensional Domains
","
Authors:
Matthew Tancik, 
Pratul P. Srinivasan, 
Ben Mildenhall, 
Sara Fridovich-Keil, 
Nithin Raghavan, 
Utkarsh Singhal, 
Ravi Ramamoorthi, 
Jonathan T. Barron, 
Ren Ng
","
Subjects: Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG)

","['Computer Vision and Pattern Recognition (cs.CV)', 'Machine Learning (cs.LG)']"
2,arXiv:2006.10738,"
Title: Differentiable Augmentation for Data-Efficient GAN Training
","
Authors:
Shengyu Zhao, 
Zhijian Liu, 
Ji Lin, 
Jun-Yan Zhu, 
Song Han
","
Subjects: Computer Vision and Pattern Recognition (cs.CV)
",['Computer Vision and Pattern Recognition (cs.CV)']
3,arXiv:2006.10734,"
Title: Forward Prediction for Physical Reasoning
","
Authors:
Rohit Girdhar, 
Laura Gustafson, 
Aaron Adcock, 
Laurens van der Maaten
","
Subjects: Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Computer Vision and Pattern Recognition (cs.CV); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Artificial Intelligence (cs.AI)', 'Computer Vision and Pattern Recognition (cs.CV)', 'Machine Learning (stat.ML)']"
4,arXiv:2006.10733,"
Title: A unified framework for equivalences in social networks
","
Authors:
Nina Otter, 
Mason A. Porter
","
Subjects: Social and Information Networks (cs.SI); Discrete Mathematics (cs.DM); Symbolic Computation (cs.SC); Category Theory (math.CT)

","['Social and Information Networks (cs.SI)', 'Discrete Mathematics (cs.DM)', 'Symbolic Computation (cs.SC)', 'Category Theory (math.CT)']"
5,arXiv:2006.10731,"
Title: Spin-Weighted Spherical CNNs
","
Authors:
Carlos Esteves, 
Ameesh Makadia, 
Kostas Daniilidis
","
Subjects: Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG)

","['Computer Vision and Pattern Recognition (cs.CV)', 'Machine Learning (cs.LG)']"
6,arXiv:2006.10728,"
Title: Diverse Image Generation via Self-Conditioned GANs
","
Authors:
Steven Liu, 
Tongzhou Wang, 
David Bau, 
Jun-Yan Zhu, 
Antonio Torralba
","
Subjects: Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG)

","['Computer Vision and Pattern Recognition (cs.CV)', 'Machine Learning (cs.LG)']"
7,arXiv:2006.10726,"
Title: Fully Test-time Adaptation by Entropy Minimization
","
Authors:
Dequan Wang, 
Evan Shelhamer, 
Shaoteng Liu, 
Bruno Olshausen, 
Trevor Darrell
","
Subjects: Machine Learning (cs.LG); Computer Vision and Pattern Recognition (cs.CV); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Computer Vision and Pattern Recognition (cs.CV)', 'Machine Learning (stat.ML)']"
8,arXiv:2006.10724,"
Title: Cyclic Differentiable Architecture Search
","
Authors:
Hongyuan Yu, 
Houwen Peng
","
Subjects: Computer Vision and Pattern Recognition (cs.CV)
",['Computer Vision and Pattern Recognition (cs.CV)']
9,arXiv:2006.10721,"
Title: Ocean: Object-aware Anchor-free Tracking
","
Authors:
Zhipeng Zhang, 
Houwen Peng
","
Subjects: Computer Vision and Pattern Recognition (cs.CV)
",['Computer Vision and Pattern Recognition (cs.CV)']
10,arXiv:2006.10720,"
Title: IReEn: Iterative Reverse-Engineering of Black-Box Functions via Neural  Program Synthesis
","
Authors:
Hossein Hajipour, 
Mateusz Malinowski, 
Mario Fritz
","
Subjects: Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Programming Languages (cs.PL); Software Engineering (cs.SE); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Artificial Intelligence (cs.AI)', 'Programming Languages (cs.PL)', 'Software Engineering (cs.SE)', 'Machine Learning (stat.ML)']"
11,arXiv:2006.10719,"
Title: SwissCovid: a critical analysis of risk assessment by Swiss authorities
","
Authors:
Paul-Olivier Dehaye, 
Joel Reardon
","
Subjects: Cryptography and Security (cs.CR); Computers and Society (cs.CY)

","['Cryptography and Security (cs.CR)', 'Computers and Society (cs.CY)']"
12,arXiv:2006.10716,"
Title: Market Graph Clustering Via QUBO and Digital Annealing
","
Authors:
Seo Hong, 
Pierre Miasnikof, 
Roy Kwon, 
Yuri Lawryshyn
","
Subjects: Social and Information Networks (cs.SI); Computation (stat.CO)

","['Social and Information Networks (cs.SI)', 'Computation (stat.CO)']"
13,arXiv:2006.10715,"
Title: List-Decodable Mean Estimation via Iterative Multi-Fitering
","
Authors:
Ilias Diakonikolas, 
Daniel M. Kane, 
Daniel Kongsgaard
","
Subjects: Machine Learning (cs.LG); Data Structures and Algorithms (cs.DS); Statistics Theory (math.ST); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Data Structures and Algorithms (cs.DS)', 'Statistics Theory (math.ST)', 'Machine Learning (stat.ML)']"
14,arXiv:2006.10713,"
Title: Zero-Shot Learning with Common Sense Knowledge Graphs
","
Authors:
Nihal V. Nayak, 
Stephen H. Bach
","
Subjects: Machine Learning (cs.LG); Computation and Language (cs.CL); Computer Vision and Pattern Recognition (cs.CV); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Computation and Language (cs.CL)', 'Computer Vision and Pattern Recognition (cs.CV)', 'Machine Learning (stat.ML)']"
15,arXiv:2006.10712,"
Title: Unsupervised out-of-distribution detection using kernel density  estimation
","
Authors:
Ertunc Erdil, 
Krishna Chaitanya, 
Ender Konukoglu
","
Subjects: Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG)

","['Computer Vision and Pattern Recognition (cs.CV)', 'Machine Learning (cs.LG)']"
16,arXiv:2006.10711,"
Title: STEER : Simple Temporal Regularization For Neural ODEs
","
Authors:
Arnab Ghosh, 
Harkirat Singh Behl, 
Emilien Dupont, 
Philip H. S. Torr, 
Vinay Namboodiri
","
Subjects: Machine Learning (cs.LG); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Machine Learning (stat.ML)']"
17,arXiv:2006.10705,"
Title: Set Distribution Networks: a Generative Model for Sets of Images
","
Authors:
Shuangfei Zhai, 
Walter Talbott, 
Miguel Angel Bautista, 
Carlos Guestrin, 
Josh M. Susskind
","
Subjects: Machine Learning (cs.LG); Computer Vision and Pattern Recognition (cs.CV); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Computer Vision and Pattern Recognition (cs.CV)', 'Machine Learning (stat.ML)']"
18,arXiv:2006.10704,"
Title: Latent Video Transformer
","
Authors:
Ruslan Rakhimov, 
Denis Volkhonskiy, 
Alexey Artemov, 
Denis Zorin, 
Evgeny Burnaev
","
Subjects: Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG); Image and Video Processing (eess.IV)

","['Computer Vision and Pattern Recognition (cs.CV)', 'Machine Learning (cs.LG)', 'Image and Video Processing (eess.IV)']"
19,arXiv:2006.10702,"
Title: Semi-Supervised Recognition under a Noisy and Fine-grained Dataset
","
Authors:
Cheng Cui, 
Zhi Ye, 
Yangxi Li, 
Xinjian Li, 
Min Yang, 
Kai Wei, 
Bing Dai, 
Yanmei Zhao, 
Zhongji Liu, 
Rong Pang
","
Subjects: Computer Vision and Pattern Recognition (cs.CV)
",['Computer Vision and Pattern Recognition (cs.CV)']
20,arXiv:2006.10701,"
Title: Deep Reinforcement Learning amidst Lifelong Non-Stationarity
","
Authors:
Annie Xie, 
James Harrison, 
Chelsea Finn
","
Subjects: Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Robotics (cs.RO); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Artificial Intelligence (cs.AI)', 'Robotics (cs.RO)', 'Machine Learning (stat.ML)']"
21,arXiv:2006.10698,"
Title: Resource Pools and the CAP Theorem
","
Authors:
Andrew Lewis-Pye, 
Tim Roughgarden
","
Subjects: Distributed, Parallel, and Cluster Computing (cs.DC); Data Structures and Algorithms (cs.DS)

","['Distributed, Parallel, and Cluster Computing (cs.DC)', 'Data Structures and Algorithms (cs.DS)']"
22,arXiv:2006.10692,"
Title: A Competitive B-Matching Algorithm for Reconfigurable Datacenter  Networks
","
Authors:
Marcin Bienkowski, 
David Fuchssteiner, 
Jan Marcinkowski, 
Stefan Schmid
","
Subjects: Networking and Internet Architecture (cs.NI); Data Structures and Algorithms (cs.DS)

","['Networking and Internet Architecture (cs.NI)', 'Data Structures and Algorithms (cs.DS)']"
23,arXiv:2006.10681,"
Title: A dataset for complex activity recognition withmicro and macro  activities in a cooking scenario
","
Authors:
Paula Lago, 
Shingo Takeda, 
Sayeda Shamma Alia, 
Kohei Adachi, 
Brahim Bennai, 
Francois Charpillet, 
Sozo Inoue
","
Subjects: Human-Computer Interaction (cs.HC); Machine Learning (cs.LG)

","['Human-Computer Interaction (cs.HC)', 'Machine Learning (cs.LG)']"
24,arXiv:2006.10680,"
Title: DisARM: An Antithetic Gradient Estimator for Binary Latent Variables
","
Authors:
Zhe Dong, 
Andriy Mnih, 
George Tucker
","
Subjects: Machine Learning (cs.LG); Machine Learning (stat.ML)

","['Machine Learning (cs.LG)', 'Machine Learning (stat.ML)']"
25,arXiv:2006.10679,"
Title: Dissecting Deep Networks into an Ensemble of Generative Classifiers for  Robust Predictions
","
Authors:
Lokender Tiwari, 
Anish Madan, 
Saket Anand, 
Subhashis Banerjee
","
Subjects: Computer Vision and Pattern Recognition (cs.CV); Machine Learning (stat.ML)

","['Computer Vision and Pattern Recognition (cs.CV)', 'Machine Learning (stat.ML)']"
26,arXiv:2006.10677,"
Title: AMALGUM -- A Free, Balanced, Multilayer English Web Corpus
","
Authors:
Luke Gessler, 
Siyao Peng, 
Yang Liu, 
Yilun Zhu, 
Shabnam Behzad, 
Amir Zeldes
","
Subjects: Computation and Language (cs.CL)
",['Computation and Language (cs.CL)']
27,arXiv:2006.10673,"
Title: Mapping the ""long tail"" of research funding: A topic analysis of NSF  grant proposals in the Division of Astronomical Sciences
","
Authors:
Gretchen R. Stahlman, 
P. Bryan Heidorn
","
Subjects: Digital Libraries (cs.DL); Information Retrieval (cs.IR)

","['Digital Libraries (cs.DL)', 'Information Retrieval (cs.IR)']"
28,arXiv:2006.10672,"
Title: Federated Learning With Quantized Global Model Updates
","
Authors:
Mohammad Mohammadi Amiri, 
Deniz Gunduz, 
Sanjeev R. Kulkarni, 
H. Vincent Poor
","
Subjects: Information Theory (cs.IT); Distributed, Parallel, and Cluster Computing (cs.DC); Machine Learning (cs.LG)

","['Information Theory (cs.IT)', 'Distributed, Parallel, and Cluster Computing (cs.DC)', 'Machine Learning (cs.LG)']"
